"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Pal A.; Singh U.P.; Kumar A.","Pal, Abhimanyu (58481915800); Singh, Upendra Pratap (57203063804); Kumar, Ashish (58073139200)","58481915800; 57203063804; 58073139200","INVESTIGATING THE DETERMINANTS OF ONLINE SHOPPING REPURCHASE INTENTION IN GENERATION Z CUSTOMERS IN INDIA: AN EXPLORATORY STUDY","2024","Interdisciplinary Journal of Information, Knowledge, and Management","19","","33","1","10","1","10.28945/5389","https://www.scopus.com/pages/publications/85209248978?origin=resultslist","Aim/Purpose This study investigates the factors that affect the repurchase intentions of Generation Z consumers in India’s online shopping industry, focusing on combining the Expectation-Confirmation Model (ECM) and Extended Technology Acceptance Model (E-TAM). The aim is to understand the intricate behaviors that shape technology adoption and sustained usage, which are essential for retaining customers in e-commerce. Background Social media and other online platforms have significantly influenced daily life and become essential communication tools owing to technological advancements. Online shopping is no exception, offering a range of product choices, information, and convenience compared with traditional commerce. Indian retailers recognize this trend as an opportunity to promote their brands through e-shopping platforms, leading to increased competition. Generation Z comprises 32% of the world’s population and is a significant emerging customer base in India. Numerous studies have been conducted to study customers’ repurchase intention in the online shopping domain, but few studies have explicitly focused on Generation Z as a customer base. This study aims to comprehensively understand the topic and investigate the variables that impact consumers’ online repurchase intention by examining their post-adoption behavioral processes. Methodology The study employed a quantitative research design with structural equation modeling using AMOS to analyze responses from 410 participants. This method thoroughly examined hypotheses regarding factors affecting repurchase intention (security, ease of use, privacy, and internet self-efficacy) and the mediating role of e-satisfaction. Contribution This study makes a unique contribution to the field of e-commerce by focusing on Generation Z in India, a rapidly growing demographic in the e-commerce industry. The results on the mediating role of e-satisfaction have significant implications for e-retailers seeking to enhance customer retention strategies and gain a competitive edge in the market. Findings The research findings underscore the significant influence of security, ease of use, and internet self-efficacy on repurchase intentions, with e-satisfaction playing a pivotal role as a mediating factor. Notably, while privacy concerns did not directly impact repurchase intentions, they displayed considerable influence when mediated by e-satisfaction, highlighting the intricate interplay between these variables in the context of online shopping, which is the unique finding of this study. Recommendations This study has several significant implications for practitioners. Effectively ad-for Practitioners dressing computer-related individual differences, such as computer self-efficacy, is crucial for boosting online customers’ repurchase intention. For instance, if an e-retailer intends to target Generation Z customers, they should collaborate with IT professionals and develop various computer literacy programs on online streaming platforms, such as YouTube. These programs will enhance target customers’ confidence in online shopping portals and increase their online repeat purchases. Additionally, practitioners should strive to improve the online shopping experience by making the portal user-friendly. Generation Z is accustomed to a fast Internet experience, so they prefer that the process of completing online transactions is swift with fewer clicks. The search for products, payments, and redress should not be tedious. Furthermore, the primary objective of the e-retailer should be to satisfy customers, as satisfied customers repeat their purchases and increase overall profitability. Recommendations The current study was conducted in the Delhi-NCR region of India, and its for Researchers findings could serve as a basis for future research. For instance, the scale devised in this study could be utilized to examine the impact of cash-on-delivery as a payment method on purchase intention across the country. Alternatively, a comparative analysis could be conducted to compare cash-on-delivery effects in various countries. Impact on Society The study’s findings enable stakeholders in the online shopping industry to comprehend the post-adoption behavior of Generation Z users and augment existing literature by establishing a correlation between determinants that impact repurchase intention and e-satisfaction, which serves as a mediator. Future Research This study examines the factors that impact the propensity of Generation Z shoppers to engage in repeat online purchases. This study focuses on India, where the Generation Y (millennial) customer base is also substantial within the online shopping market. Future research could compare the shopping habits of Generation Z and Generation Y customers, as the latter may place greater importance on privacy and security. Additional studies could broaden the scope of this research and explore the comparative viewpoints of both generations. Also, it would be advantageous to conduct in-depth interviews and longitudinal studies to acquire a more in-depth comprehension of the evolving digitalization of shopping. © 2024 Informing Science Institute. All rights reserved.","e-commerce; e-satisfaction; ease of use; Generation Z; internet self-efficacy; privacy concerns; repurchase intention; security","Commerce; Competition; Customer satisfaction; Differential privacy; Marketplaces; Customerbase; E- commerces; E-satisfaction; Ease-of-use; Generation Z; Internet self-efficacy; Online shopping; Privacy concerns; Repurchase intention; Security; Sales","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85209248978"
"Zhang Y.","Zhang, Yanyan (60416335000)","60416335000","E-commerce Livestream Precision Marketing System Based on Data Mining Technology","2025","Proceedings of the 2025 IEEE International Conference on Computation, Big-Data and Engineering, ICCBE 2025","","","","440","444","0","10.1109/ICCBE65177.2025.11256070","https://www.scopus.com/pages/publications/105031136966?origin=resultslist","As the popularity of e-commerce platforms continues to rise, so does the embedding of precision marketing systems to elevate user experience and drive business outcomes. Based on data mining technology, an e-commerce livestream precision marketing system was developed in this study. The system leverages state-of-the-art data mining of user profiles, customer segments, and historical value index to enhance marketing outcomes. By collecting, cleaning, and storing data, the system develops user profiles to tailor user experience to individual preferences and behaviors. Using K-means clustering and backpropagation neural network and other machine learning algorithms, the system clusters customers to predict their future purchasing behavior. The enabled targeted marketing strategy helps businesses better understand consumer preferences and develop relevant marketing initiatives. The architecture of the system involves the collection and storage of larger datasets complementary to sophisticated algorithms that are critical in analyzing data and users in real-time. This system provides the e-commerce companies with maximization in their profit margin by reaching out to the customers with personalized recommendations. © 2025 IEEE.","data mining; e-commerce; livestreaming; precision marketing; user profiling","Backpropagation; Behavioral research; Data mining; Digital storage; K-means clustering; Learning systems; Marketplaces; Neural networks; Sales; User experience; User profile; Business outcomes; Commerce platforms; Data mining technology; E- commerces; Embeddings; Livestreaming; Precision marketings; User's profiles; User's profiling; Users' experiences; Electronic commerce","Conference paper","Final","","Scopus","2-s2.0-105031136966"
"Nishamali M.K.C.P.; Pathirage G.S.; Herath S.; Herath P.; Wickramarathne J.","Nishamali, M.K.C.P. (59561124800); Pathirage, Gihan Saminda (59586664300); Herath, Samitha (57193429103); Herath, Penusha (59696140400); Wickramarathne, Jagath (35147255200)","59561124800; 59586664300; 57193429103; 59696140400; 35147255200","A Systematic Study of Machine Learning Applications in E-Commerce UX Personalization","2024","4th IEEE International Conference on Mobile Networks and Wireless Communications, ICMNWC 2024","","","","","","0","10.1109/ICMNWC63764.2024.10872138","https://www.scopus.com/pages/publications/105000168401?origin=resultslist","This study provides a systematic analysis of the role of machine learning in personalizing e-commerce user experiences (UX). Through a review of selected recent literature, the study explores various machine learning techniques applied to e-commerce, including supervised learning, unsupervised learning, deep learning, and ensemble methods. The research discusses these approaches' effectiveness in enhancing UX through personalized recommendations, search results, dynamic pricing models, and virtual try -on experiences. The analysis examines four main areas: recommendation systems for improved product discovery and user engagement, dynamic pricing optimization for maximizing revenue and customer satisfaction, virtual try-on technologies for enhancing fashion retail experiences, and personalized search. The study investigates how these technologies contribute to creating engaging and efficient shopping experiences while examining implementation challenges such as data privacy and algorithmic bias. Additionally, the research discusses emerging trends, technological advancements, and future research directions to further advance personalization in e-commerce. Overall, this research contributes to the understanding of machine learning in e-commerce personalization for both researchers and practitioners. © 2024 IEEE.","e-commerce ux personalization; machine learning in e-commerce; personalized recommendations; personalized search; virtual try -on technologies","Contrastive Learning; Customer satisfaction; Federated learning; Marketplaces; Self-supervised learning; E- commerces; E-commerce ux personalization; Machine learning in e-commerce; Machine-learning; Personalizations; Personalized recommendation; Personalized search; Virtual try -on technology; Virtual try-on; Adversarial machine learning","Conference paper","Final","","Scopus","2-s2.0-105000168401"
"Bulkrock O.; Qusef A.; BaniMustafa A.","Bulkrock, Olla (58080122000); Qusef, Abdallah (36675659700); BaniMustafa, Ahmed (57205010395)","58080122000; 36675659700; 57205010395","Sentiment Analysis of Customer Feedback and Reviews in E-Commerce Systems","2025","2025 International Conference on New Trends in Computing Sciences, ICTCS 2025","","","","379","385","2","10.1109/ICTCS65341.2025.10989450","https://www.scopus.com/pages/publications/105007292663?origin=resultslist","Natural Language Processing (NLP) is an effective tool for analyzing consumer satisfaction with products and services typically sold by e-businesses. This study explores the use of sentiment analysis to understand customer feedback and ratings using a dataset acquired by Amazon. That dataset covers online purchases over a period of eight years. The study aims to examine the factors that impact sentiment polarity throughout different periods and understand changes in consumer feelings and reviews towards online products and services. The applied method comprehensively studies sentiment, extracting features using the Term Frequency-Inverse Document Frequency (TF-IDF) and other text analysis and data processing procedures. Visualization is also applied to illustrate the trends, patterns, and changes in customer satisfaction over time and per product and line of products. The findings underscore the importance of sentimental research in discerning customer sentiments on online e-commerce platforms and offer practical recommendations for enhancing online and improving customer satisfaction. ©2025 IEEE.","Amazon Reviews; Customer Feedback; E-commerce; Natural Language Processing; Sentiment Analysis","Data reduction; Data visualization; Electronic data interchange; Marketplaces; Mobile commerce; Sales; Sorting; User experience; Amazon review; Customer feedback; Customer review; Customers' satisfaction; E-commerce systems; Language processing; Natural language processing; Natural languages; Product and services; Sentiment analysis; Emotion Recognition","Conference paper","Final","","Scopus","2-s2.0-105007292663"
"Zhao W.","Zhao, Wenchao (59144650300)","59144650300","Research on the application of deep neural networks in personalized product recommendations on e-commerce platforms","2025","Proceedings of 2024 5th International Conference on Computer Science and Management Technology, ICCSMT 2024","","","","184","188","0","10.1145/3708036.3708068","https://www.scopus.com/pages/publications/85218013936?origin=resultslist","Due to the influence of factors such as user consumption habits and manufacturer service quality, e-commerce platforms cannot push personalized product information to any consumer.This project studies the push of product information on e-commerce platforms based on deep neural networks.It mines the data of users' online shopping behaviors such as browsing, collecting, and adding to cart on e-commerce platforms, and pre-processes the mined user behavior data by cleaning, integrating, and normalizing them.It builds a deep bidirectional Transformer model to learn users' historical behavior data and predict the most probable products that meet users' behavior needs, thereby realizing the automatic push of product information on e-commerce platforms.The experimental results show that the F1 value of the push result of product information on e-commerce platforms under the method designed by this algorithm is 0.97, which confirms the effectiveness and superiority of this method. © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.","Deep neural network; E-commerce platform; Personalization; Product information push","Chatbots; Deep neural networks; Commerce platforms; E- commerces; E-commerce platform; Information push; Neural-networks; Personalizations; Personalized products; Product information; Product information push; User behaviors; Marketplaces","Conference paper","Final","","Scopus","2-s2.0-85218013936"
"Pangukir B.T.; Shihab M.R.; Parikenan B.; Kautsar F.; Christian K.","Pangukir, Bravyto Takwa (57577327200); Shihab, Muhammad Rifki (56363073800); Parikenan, Bambang (57219121603); Kautsar, Faiz (57577551700); Christian, Kevin (57219118978)","57577327200; 56363073800; 57219121603; 57577551700; 57219118978","Analysis of Extended Enterprise Implementation in E-Commerce Business Model Case Study PT. XYZ","2020","Proceedings - 2020 6th International Conference on Science and Technology, ICST 2020","","","","","","0","10.1109/ICST50505.2020.9732892","https://www.scopus.com/pages/publications/85128337854?origin=resultslist","XYZ is one of the online marketplace businesses in Indonesia that applied extended enterprise to support its business processes. This study aimed to find out how the application of extended enterprise carried out by XYZ and its partners. The capabilities, benefits, and challenges faced by XYZ in implementing this extended enterprise were analyzed. This research also formulate recommendations for the improvement of XYZ's extended enterprise. The qualitative methodology used in this study. Data collected based on observations, interviews, and literature studies which mapped to list out challenges based on factors of the extended enterprise and ABC model to show recommendations. The results of this study indicate several challenges faced, such as information mismatch, lack of service standards by partners, and differences in work culture between partners and XYZ. Recommendations that given include the provision of tools and support systems, establishing SLAs with partners, and the application of knowledge sharing between the organization's business units. © 2020 IEEE.","ABC model; business model; collaboration; e-commerce; extended enterprise","Knowledge management; ABC model; Business models; Business Process; Case-studies; Collaboration; E- commerces; E-commerce business; Extended enterprise; Indonesia; Online marketplaces; Electronic commerce","Conference paper","Final","","Scopus","2-s2.0-85128337854"
"Kleemann T.; Loepp B.; Ziegler J.","Kleemann, Timm (56904325100); Loepp, Benedikt (56156841500); Ziegler, Jürgen (12797843900)","56904325100; 56156841500; 12797843900","Knowledge Graph-Based Integration of Conversational Advisors and Faceted Filtering","2025","Interacting with Computers","37","3","","158","188","2","10.1093/iwc/iwae044","https://www.scopus.com/pages/publications/105004260337?origin=resultslist","Modern e-commerce websites often provide users with a variety of components, such as faceted filters and conversational recommender systems, that act as product advisors to help them find relevant products. However, these components are often treated separately and presented as independent components, leading to increased cognitive load and disruption in the search process. Also, the reasoning behind the resulting product recommendations is often not transparent. To address these limitations, we propose a novel approach that relies on a knowledge graph structure to seamlessly integrate faceted filtering and conversational advisors based on graphical user interfaces (GUI). Concretely, the knowledge graph is used to suggest filter values and products based on the user’s answers in the advisor, and, conversely, to determine follow-up questions based on the user’s selected filter values. The user interface also visualizes and explains the underlying relationships between answers given to the advisor and relevant product features in the filter component in order to increase the transparency of the search process. We conducted two user studies with a total of 448 participants to compare a system that integrates the different components according to our approach with a baseline system in which the mechanisms operate separately. Sequence analysis of the logged interaction data provided insights into participants’ behavior as they interacted with both systems. The results indicate that displaying recommended products and related explanations directly in the filter component increases acceptance and trust in the system. Also, the combination of a conversational advisor with values displayed in a filter interface, along with explanations of the underlying relationships, significantly contributes to the knowledge and understanding of those product features that are important in terms of the current search goal. © 2024 The Author(s). Published by Oxford University Press on behalf of The British Computer Society. All rights reserved.","explanations; graph-based interaction; recommender systems; search interfaces; transparency; trust","Flow visualization; Marketplaces; Online searching; Recommender systems; E-commerce websites; Explanation; Filter components; Graph-based; Graph-based interaction; Knowledge graphs; Product feature; Search interfaces; Search process; Trust; Graphical user interfaces","Article","Final","","Scopus","2-s2.0-105004260337"
"Wei X.; Maoqing L.","Wei, Xu (53265349700); Maoqing, Li (9267366300)","53265349700; 9267366300","The research on building a global customer centered data warehouse system","2011","ICCSE 2011 - 6th International Conference on Computer Science and Education, Final Program and Proceedings","","","6028797","971","973","1","10.1109/ICCSE.2011.6028797","https://www.scopus.com/pages/publications/80054037627?origin=resultslist","Benefits abound for a company that builds and maintains a CRM based data warehouse system correctly. This article will introduce the technical architecture of an e-commerce company's CRM/Data warehouses project which is able to increase revenue based on delivering the data reporting service to subscriber. These reports will cover a wide variety of individual sales metrics, marketplace comparables, popular searches, and hot categories. The experience in this article allows us to identify successful design practices and develop recommendations for organizations that are interested in deploying a similar system. © 2011 IEEE.","CRM; data reporting; data warehouse","Commerce; Computer science; Education computing; CRM; Data reporting; Data warehouse systems; Design practice; Technical architecture; Data warehouses","Conference paper","Final","","Scopus","2-s2.0-80054037627"
"Lo C.-H.; Lin L.-F.","Lo, Chin-Hsuan (59394620400); Lin, Lien-Fa (35763297500)","59394620400; 35763297500","Personalized E-Shopping Recommendations for Sustainable Consumption","2024","Proceedings - 2024 16th IIAI International Congress on Advanced Applied Informatics, IIAI-AAI 2024","","","","585","588","3","10.1109/IIAI-AAI63651.2024.00111","https://www.scopus.com/pages/publications/85208140648?origin=resultslist","To address the prevalent issue of impulsive buying behavior in the e-commerce environment, this study introduces a personalized online shopping recommendation system aimed at the short-term improvement of shopping impulses and the long-term reduction of unnecessary expenditures and waste, thereby facilitating sustainable consumption. The system builds a personalized model based on consumers' past purchase records, their preferences, and buying habits as demonstrated in interactions with chatbots. Furthermore, by integrating personality trait theories, the system conducts in-depth analyses of consumers to offer more precise product or service recommendations, thereby aiding them in making informed shopping decisions. Through continuous updates from interactions with the chatbot, the system promptly reflects the latest consumer preferences, thereby providing retailers with strategies to enhance customer experience and loyalty.  © 2024 IEEE.","Impulsive Buying; Personality Trait Analysis; Recommendation System; Sustainable Consumption","% reductions; Buying behavior; Chatbots; E- commerces; Impulsive buying; Online shopping; Personality trait analyze; Personality traits; Personalized model; Sustainable consumption; Marketplaces","Conference paper","Final","","Scopus","2-s2.0-85208140648"
"Borja P.R.C.; Acang J.P.A.; Contillo G.L.; Burac M.A.P.","Borja, Patrick Ray C. (59536896100); Acang, James Patrick A. (59238712600); Contillo, Gerry L. (57216810644); Burac, Michael Angelo P. (57202464509)","59536896100; 59238712600; 57216810644; 57202464509","Improving the Point-of-Sale Operations of the Mariano Marcos State University Through the Integration of Portable Self-Service Kiosk","2024","Proceeding of 2024 9th International Conference on Information Technology and Digital Applications, ICITDA 2024","","","","","","0","10.1109/ICITDA64560.2024.10809427","https://www.scopus.com/pages/publications/85216574413?origin=resultslist","This paper presents the development and implementation of a portable self-service kiosk system at Mariano Marcos State University, designed to enhance the point-of-sale experience in campus canteens. Long wait times during checkout have been identified as a significant issue affecting customer satisfaction and operational efficiency. The proposed system leverages barcode scanning and QR code technology to streamline the ordering and payment process, thereby reducing congestion and wait times. Employing a mixed-methods research design, the study involved qualitative interviews with cashiers and consumers to identify challenges and requirements, followed by quantitative analysis of user acceptance testing results. The agile development methodology was utilized to design, test, and deploy the system, ensuring alignment with user needs throughout the development process. The system incorporates features such as product filtering, canteen selection, notification systems, and consumption pattern-based recommendations. Preliminary results indicate strong user acceptance and satisfaction across four key categories: functionality, usability, efficiency, and portability. The overall grand mean of 4.89 out of 5 in user acceptance testing underscores the system's effectiveness in addressing the identified issues. This innovation not only improves the campus dining experience but also provides valuable data for ongoing service improvements, representing a significant step towards modernizing campus food services at Mariano Marcos State University.  © 2024 IEEE.","Marketing; Point-of-Sale System; Portable Self-service Kiosk; University Canteen","Acceptance tests; Customer satisfaction; Lean production; Mobile commerce; Sales; Customers' satisfaction; Operational efficiencies; Point of sale; Point-of-sale systems; Portable self-service kiosk; Sales operation; Self-service kiosks; University canteen; User acceptance testing; Wait time; Efficiency","Conference paper","Final","","Scopus","2-s2.0-85216574413"
"Singh A.; Bothra V.; Sen A.; Chakraborty D.","Singh, Amrit (60094851300); Bothra, Vansh (60094482000); Sen, Anirban (57194042879); Chakraborty, Dipanjan (7102946987)","60094851300; 60094482000; 57194042879; 7102946987","Navigating the Digital Marketplace: Understanding the E-Commerce Adoption Journey of Emergent Users in India","2025","Proceedings of the ACM on Human-Computer Interaction","9","5","MHCI022","","","2","10.1145/3743728","https://www.scopus.com/pages/publications/105015449909?origin=resultslist","Despite rapid mobile and Internet penetration in India, e-commerce adoption remains slow among emergent users. In this paper, we conduct a mixed-method study involving a two-phase user study and an analysis of app reviews posted on app stores. The findings reveal that emergent users often replicate offline shopping behaviours in digital contexts, struggle with product search and filtering, and prefer cash-on-delivery due to distrust in online payments. Many users misinterpret rating systems and lack confidence in post-purchase processes, further deterring adoption. Our research underscores the need for intuitive design, clearer communication of platform features, and trust-building mechanisms to enhance user engagement with e-commerce. We propose design recommendations to make e-commerce platforms more accessible, addressing the specific needs of this user group. © 2025 Copyright held by the owner/author(s)","E-commerce; emergent users; mobile applications; usability study; user experience","Human computer interaction; Human engineering; Information systems; Information use; Mobile applications; Mobile computing; Online systems; Purchasing; User experience; User interfaces; Digital marketplace; E- commerces; E-commerce adoption; Emergent user; Mixed method; Mobile applications; Two phase; Usability studies; User study; Users' experiences; Mobile commerce","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105015449909"
"Ratnapriya P.; Amrita K.; Pal P.; Seth I.; Pandey M.C.","Ratnapriya, Pratayaksha (59704076700); Amrita, Km (59703090800); Pal, Pooja (59703282200); Seth, Ishika (59703484600); Pandey, Manik Chandra (58930076400)","59704076700; 59703090800; 59703282200; 59703484600; 58930076400","Electronic - Commerce - Opportunites and Challenges in India","2024","Proceedings - IEEE 2024 1st International Conference on Advances in Computing, Communication and Networking, ICAC2N 2024","","","","830","833","0","10.1109/ICAC2N63387.2024.10895935","https://www.scopus.com/pages/publications/105000643639?origin=resultslist","The rapid growth of e-commerce has revolutionized business operations. Succeeding in the digital age requires efficient, scalable e-commerce platforms. This abstract summarizes an-e-commerce website-developed with the-MERN-stack: MongoDB, Express.js,-React,-and Node.js. This powerful, widely adopted technology stack supports full-stack web applications. It features a product catalog, user authentication, shopping cart functionality, order processing, and payment integration. The MERN stack's versatility allows developers to create dynamic, responsive user interfaces with React on the client side, while Node.js provides scalability and flexibility on the server side. © 2024 IEEE.","E-commerce; Inventory Management; Node.js; Product Listing; Shipping & Delivery; Shopping Cart; Stripe; Web Development","Commerce; Inventory control; Product development; Scalability; Web Design; E- commerces; Inventory management; Js; Node.; Product listing; Rapid growth; Shipping & delivery; Shopping carts; Stripe; Web development; Marketplaces","Conference paper","Final","","Scopus","2-s2.0-105000643639"
"Adhikari S.; Agrawal S.; Sembium V.","Adhikari, Sayanta (59280384900); Agrawal, Sanjay (58827313200); Sembium, Vivek (57195953314)","59280384900; 58827313200; 57195953314","FR-LoRA: Fisher Regularized LoRA for Multilingual Continual Learning","2025","CIKM 2025 - Proceedings of the 34th ACM International Conference on Information and Knowledge Management","","","","5559","5566","1","10.1145/3746252.3761531","https://www.scopus.com/pages/publications/105023182079?origin=resultslist","Relevance in e-commerce product search is critical to ensuring that results accurately reflect customer intent. While large language models (LLMs) have recently advanced natural language processing capabilities, their high inference latency and significant infrastructure demands make them less suitable for real-time e-commerce applications. Consequently, transformer-based encoder models are widely adopted for relevance classification tasks. These models typically evaluate the relevance of a product to a given query by encoding the query and product title as input features. As e-commerce stores expand into new marketplaces, the need for language- and region-specific relevance models grows, often resulting in the sequential development and maintenance of separate models per marketplace. To address this challenge, we introduce a multilingual continual learning (CL) framework that mitigates catastrophic forgetting. Our proposed method, FR-LoRA (Fisher Regularized LoRA), integrates Elastic Weight Consolidation (EWC) with marketplace-specific LoRA modules, where each LoRA is regularized using the Fisher information matrix. FR-LoRA retains the same inference-time footprint as the base model, ensuring zero additional latency while enabling frequent, scalable updates. Empirically, our approach achieves a ∼3% ROC-AUC improvement over single-marketplace baselines and outperforms several recent CL baselines on both proprietary and public datasets.  © 2025 Copyright held by the owner/author(s).","continual learning; fisher information; LoRA; product search; relevance classification","Classification (of information); Electronic commerce; Learning algorithms; Natural language processing systems; Continual learning; E- commerces; Fisher information; Language model; Language processing; LoRA; Natural languages; Processing capability; Product search; Relevance classification; Fisher information matrix","Conference paper","Final","","Scopus","2-s2.0-105023182079"
"Agitha N.; Husodo A.Y.; Afwani R.; Al Anshary F.M.","Agitha, Nadiyasari (57208837030); Husodo, Ario Yudo (53263950600); Afwani, Royana (55315232700); Al Anshary, Faishal Mufied (58104802100)","57208837030; 53263950600; 55315232700; 58104802100","The Design of E-Commerce System to Increase Sales Productivity of Home Industry in Indonesia","2023","International Journal on Informatics Visualization","7","1","","70","76","4","10.30630/joiv.7.1.1589","https://www.scopus.com/pages/publications/85148216869?origin=resultslist","The household industry is the foundation of the existing home industry in Indonesia. It is categorized as a type of Small and Medium Enterprises (MSMEs) that significantly influence the Gross Domestic Product (GDP) ratio by up to approximately 10%. Since the pandemic of Covid-19, the home industry has increasingly stretched, especially in culinary and home craft products. The internet is one of the efforts to increase household industry sales. The household industry needs e-commerce to be a container for marketing its products. In this paper, we design an e-commerce system to support the sales productivity of the household industry in Indonesia. This study's e-commerce system or application is developed through some crucial stages. The stages are analysis through a questionnaire that represents needs in the field, selection of business models, namely B2B models with Virtual Storefront, marketplace concentrators, and lastly, Information Broker. Our infrastructure is determined for e-commerce development, and then strategy analysis is done using portfolio analysis, SWOT analysis, and competitor analysis. Based on the proposed strategy, we made a prototype as a designed e-commerce system that can increase sales for household businesses in cities in Indonesia. Important features in our proposed e-commerce system can accommodate many sellers or the household industry to establish relationships with many buyers based on geographical location, product search features based on closest positions or by city, and product categorization by familiar categories with household products. © 2023, Politeknik Negeri Padang. All rights reserved.","business model; E-Commerce system; household industry; prototype system","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85148216869"
"Davis D.; Gao H.; Legrand T.; Haldar M.; Deng A.; Zhao H.; He L.; Katariya S.","Davis, Dillon (58433167900); Gao, Huiji (36456928300); Legrand, Thomas (57210640107); Haldar, Malay (57210640313); Deng, Alex (55354632100); Zhao, Han (59325721900); He, Liwei (57939058600); Katariya, Sanjeev (57211580800)","58433167900; 36456928300; 57210640107; 57210640313; 55354632100; 59325721900; 57939058600; 57211580800","Transforming Location Retrieval at Airbnb: A Journey from Heuristics to Reinforcement Learning","2024","International Conference on Information and Knowledge Management, Proceedings","","","","4454","4461","1","10.1145/3627673.3680089","https://www.scopus.com/pages/publications/85210023114?origin=resultslist","The Airbnb search system grapples with many unique challenges as it continues to evolve. We oversee a marketplace that is nuanced by geography, diversity of homes, and guests with a variety of preferences. Crafting an efficient search system that can accommodate diverse guest needs, while showcasing relevant homes lies at the heart of Airbnb's success. Airbnb search has many challenges that parallel other recommendation and search systems but it has a unique information retrieval problem, upstream of ranking, called location retrieval. It requires defining a topological map area that is relevant to the searched query for homes listing retrieval. The purpose of this paper is to demonstrate the methodology, challenges, and impact of building a machine learning based location retrieval product from the ground up. Despite the lack of suitable, prevalent machine learning based approaches, we tackle cold start, generalization, differentiation and algorithmic bias. We detail the efficacy of heuristics, statistics, machine learning, and reinforcement learning approaches to solve these challenges, particularly for systems that are often unexplored by current literature.  © 2024 ACM.","audience expansion; deep learning; e-commerce; information retrieval; location based search systems; machine learning; reinforcement learning","Adversarial machine learning; Content based retrieval; Contrastive Learning; Deep learning; Federated learning; Marketplaces; Reinforcement learning; Audience expansion; Deep learning; E- commerces; Information retrieval problems; Location based search system; Location-based searches; Machine-learning; Reinforcement learnings; Search system; Topological map; Deep reinforcement learning","Conference paper","Final","","Scopus","2-s2.0-85210023114"
"Rumata V.M.; Sastrosubroto A.S.","Rumata, Vience Mutiara (57202855225); Sastrosubroto, Ashwin Sasongko (57164855100)","57202855225; 57164855100","The Indonesian e-commerce governance challenges in addressing the penetration of global user generated commerce platforms","2017","Proceedings - 2017 International Conference on Computer, Control, Informatics and its Applications: Emerging Trends In Computational Science and Engineering, IC3INA 2017","2018-January","","","7","11","2","10.1109/IC3INA.2017.8251731","https://www.scopus.com/pages/publications/85049571130?origin=resultslist","Electronic commerce (e-commerce) has potential to become one of Indonesian economy drivers in the future. Nevertheless, the increasing penetration of global social networking sites as marketplace platform would likely to threat the emerging local digital economy industry. This article reviews existing Indonesian e-commerce regulations amid this expansion. The discussion of the paper consists of three sections: 1) the Indonesian internet governance; 2) The existing e-commerce regulations and its challenges; 3) The possible policy recommendations to address the issues. This paper recommends the government should accommodate the interest of local ecommerce so that could be able to compete, at least, at the same level of playing field with the global ones. In addition, the government has to be able to take consistent legal action including blocking the global commerce provider if proven to violate the local regulations. © 2017 IEEE.","E-commerce; Global vs Local Sites; Governance; Indonesia","Laws and legislation; Commerce platforms; Governance; Indonesia; Internet governance; Local regulations; Local sites; Policy recommendations; Social networking sites; Electronic commerce","Conference paper","Final","","Scopus","2-s2.0-85049571130"
"Sai Prasanth B.; Sathish Kumar M.","Sai Prasanth, B. (59778437800); Sathish Kumar, M. (57112394100)","59778437800; 57112394100","OSE: Optimizing User Segmentation in E-Commerce Using APRIORI Algorithm for Personalized Product Recommendations","2025","Proceedings of International Conference on Visual Analytics and Data Visualization, ICVADV 2025","","","","1376","1383","1","10.1109/ICVADV63329.2025.10961010","https://www.scopus.com/pages/publications/105004405743?origin=resultslist","E-commerce platforms has led to an overwhelming increase in product choices, making it more challenging for users to find relevant products. To tackle this issue, a robust ECommerce Product Recommendation System is crucial. This system utilizes machine learning techniques, specifically user segmentation and the Apriori algorithm, to personalize recommendations based on user behavior, preferences, and historical data. The research aims to enhance the personalization of the shopping experience, improving user satisfaction, increasing sales, and fostering customer retention. The project focuses on developing a personalized recommendation system that combines Collaborative Filtering (both user-based and itembased) and the Apriori algorithm for association rule mining to recommend products based on frequent itemsets. The system will be trained on an anonymized e-commerce dataset containing user interactions such as purchase history, ratings, and product metadata. Key performance metrics like Precision, Recall, and F1Score will be used to evaluate the recommendation system's accuracy and effectiveness. The system will be designed to provide real-time recommendations tailored to user preferences, enabling e-commerce platforms to increase customer engagement and drive sales. Additionally, it will incorporate strategies to address coldstart problems (new users and products) and will adapt to evolving user preferences over time, ensuring that the recommendations remain dynamic and highly personalized.  © 2025 IEEE.","Apriori Algorithm; Association Rule Mining; E-Commerce Personalization; Product Recommendation System; User Segmentation","Learning algorithms; Mobile commerce; Sales; User experience; Apriori algorithms; Commerce platforms; E- commerces; E-commerce personalization; Personalizations; Personalized products; Product recommendation system; Rule mining; User segmentation; User's preferences; Marketplaces","Conference paper","Final","","Scopus","2-s2.0-105004405743"
