competitor,yq_dt,avg_rating,n
Choco,2020-01-01T00:00:00Z,4.4523809523809526,42
Choco,2020-07-01T00:00:00Z,3.857142857142857,7
Choco,2021-01-01T00:00:00Z,4.214285714285714,14
Choco,2021-04-01T00:00:00Z,5,22
Choco,2021-07-01T00:00:00Z,5,6
Choco,2022-07-01T00:00:00Z,4.333333333333333,6
Choco,2022-10-01T00:00:00Z,3.625,8
Choco,2023-01-01T00:00:00Z,2.6666666666666665,6
Choco,2023-04-01T00:00:00Z,4.181818181818182,11
Choco,2023-07-01T00:00:00Z,4.333333333333333,6
Choco,2025-07-01T00:00:00Z,3,6
METRO app,2020-01-01T00:00:00Z,1.6666666666666667,6
METRO app,2020-04-01T00:00:00Z,2.4705882352941178,17
METRO app,2020-07-01T00:00:00Z,1.7333333333333334,15
METRO app,2020-10-01T00:00:00Z,2.450980392156863,51
METRO app,2021-01-01T00:00:00Z,2.3548387096774195,31
METRO app,2021-04-01T00:00:00Z,2.138888888888889,36
METRO app,2021-07-01T00:00:00Z,2,31
METRO app,2021-10-01T00:00:00Z,2.483870967741935,31
METRO app,2022-01-01T00:00:00Z,2.3541666666666665,48
METRO app,2022-04-01T00:00:00Z,2.566666666666667,30
METRO app,2022-07-01T00:00:00Z,3.057142857142857,35
METRO app,2022-10-01T00:00:00Z,2.087912087912088,91
METRO app,2023-01-01T00:00:00Z,2.7435897435897436,39
METRO app,2023-04-01T00:00:00Z,2.526315789473684,19
METRO app,2023-07-01T00:00:00Z,2.3,20
METRO app,2023-10-01T00:00:00Z,2.619047619047619,21
METRO app,2024-01-01T00:00:00Z,2.9523809523809526,21
METRO app,2024-04-01T00:00:00Z,3.166666666666667,18
METRO app,2024-07-01T00:00:00Z,3.2105263157894735,19
METRO app,2024-10-01T00:00:00Z,2.346153846153846,26
METRO app,2025-01-01T00:00:00Z,2.3181818181818183,22
METRO app,2025-04-01T00:00:00Z,2.4074074074074074,27
METRO app,2025-07-01T00:00:00Z,2.619047619047619,21
METRO app,2025-10-01T00:00:00Z,2.8928571428571432,28
METRO app,2026-01-01T00:00:00Z,1.8888888888888888,18
METRO app,2026-04-01T00:00:00Z,2.4545454545454546,11
REKKI,2020-01-01T00:00:00Z,4.6,5
REKKI,2021-04-01T00:00:00Z,3.2857142857142856,7
REKKI,2022-04-01T00:00:00Z,3.5454545454545454,11
REKKI,2022-10-01T00:00:00Z,1.8,5
